        xV,              xLi, OCV_HalfCellPlusLiP, OCV_FullCell[1], DeltaH[1],     DeltaS[1] ,    DeltaG[1] ,  (DH - T DS)
     0.300000 ,      0.700000 ,    0.1778714 ,    0.1778714,  2.00387E+07,  9.64849E+03,  1.71620E+07,  1.71620E+07
     0.000000 ,      1.000000 ,    0.0591731 ,    0.0591731,  8.58560E+06,  9.64703E+03,  5.70934E+06,  5.70934E+06
     0.020000 ,      0.980000 ,    0.0628687 ,    0.0628687,  8.94224E+06,  9.64726E+03,  6.06591E+06,  6.06591E+06
     0.040000 ,      0.960000 ,    0.0697472 ,    0.0697472,  9.60598E+06,  9.64748E+03,  6.72958E+06,  6.72958E+06
     0.060000 ,      0.940000 ,    0.0810668 ,    0.0810668,  1.06982E+07,  9.64769E+03,  7.82176E+06,  7.82176E+06
     0.080000 ,      0.920000 ,    0.0983389 ,    0.0983389,  1.23648E+07,  9.64788E+03,  9.48826E+06,  9.48826E+06
     0.100000 ,      0.900000 ,    0.1303149 ,    0.1303149,  1.54500E+07,  9.64805E+03,  1.25735E+07,  1.25735E+07
     0.120000 ,      0.880000 ,    0.1587125 ,    0.1587125,  1.81900E+07,  9.64819E+03,  1.53134E+07,  1.53134E+07
     0.140000 ,      0.860000 ,    0.1680148 ,    0.1680148,  1.90876E+07,  9.64832E+03,  1.62110E+07,  1.62110E+07
     0.160000 ,      0.840000 ,    0.1718189 ,    0.1718189,  1.94547E+07,  9.64842E+03,  1.65780E+07,  1.65780E+07
     0.180000 ,      0.820000 ,    0.1738971 ,    0.1738971,  1.96552E+07,  9.64849E+03,  1.67785E+07,  1.67785E+07
     0.200000 ,      0.800000 ,    0.1751932 ,    0.1751932,  1.97803E+07,  9.64853E+03,  1.69036E+07,  1.69036E+07
     0.220000 ,      0.780000 ,    0.1760779 ,    0.1760779,  1.98657E+07,  9.64854E+03,  1.69889E+07,  1.69889E+07
     0.240000 ,      0.760000 ,    0.1767203 ,    0.1767203,  1.99276E+07,  9.64854E+03,  1.70509E+07,  1.70509E+07
     0.260000 ,      0.740000 ,    0.1772042 ,    0.1772042,  1.99743E+07,  9.64852E+03,  1.70976E+07,  1.70976E+07
     0.280000 ,      0.720000 ,    0.1775772 ,    0.1775772,  2.00103E+07,  9.64850E+03,  1.71336E+07,  1.71336E+07
     0.300000 ,      0.700000 ,    0.1778714 ,    0.1778714,  2.00387E+07,  9.64849E+03,  1.71620E+07,  1.71620E+07
     0.320000 ,      0.680000 ,    0.1781116 ,    0.1781116,  2.00619E+07,  9.64853E+03,  1.71852E+07,  1.71852E+07
     0.340000 ,      0.660000 ,    0.1783189 ,    0.1783189,  2.00819E+07,  9.64861E+03,  1.72052E+07,  1.72052E+07
     0.360000 ,      0.640000 ,    0.1785133 ,    0.1785133,  2.01007E+07,  9.64874E+03,  1.72239E+07,  1.72239E+07
     0.380000 ,      0.620000 ,    0.1787191 ,    0.1787191,  2.01206E+07,  9.64881E+03,  1.72438E+07,  1.72438E+07
     0.400000 ,      0.600000 ,    0.1789783 ,    0.1789783,  2.01455E+07,  9.64855E+03,  1.72688E+07,  1.72688E+07
     0.420000 ,      0.580000 ,    0.1793921 ,    0.1793921,  2.01850E+07,  9.64724E+03,  1.73087E+07,  1.73087E+07
     0.440000 ,      0.560000 ,    0.1802434 ,    0.1802434,  2.02662E+07,  9.64411E+03,  1.73908E+07,  1.73908E+07
     0.460000 ,      0.540000 ,    0.1822977 ,    0.1822977,  2.04648E+07,  9.64522E+03,  1.75891E+07,  1.75891E+07
     0.480000 ,      0.520000 ,    0.1870920 ,    0.1870920,  2.09551E+07,  9.73815E+03,  1.80516E+07,  1.80516E+07
     0.500000 ,      0.500000 ,    0.1953769 ,    0.1953769,  2.20216E+07,  1.06342E+04,  1.88510E+07,  1.88510E+07
     0.520000 ,      0.480000 ,    0.2037728 ,    0.2037728,  2.33992E+07,  1.25376E+04,  1.96611E+07,  1.96611E+07
     0.540000 ,      0.460000 ,    0.2088931 ,    0.2088931,  2.41540E+07,  1.34122E+04,  2.01551E+07,  2.01551E+07
     0.560000 ,      0.440000 ,    0.2114648 ,    0.2114648,  2.46950E+07,  1.43947E+04,  2.04033E+07,  2.04033E+07
     0.580000 ,      0.420000 ,    0.2129764 ,    0.2129764,  2.52047E+07,  1.56149E+04,  2.05491E+07,  2.05491E+07
     0.600000 ,      0.400000 ,    0.2141086 ,    0.2141086,  2.55875E+07,  1.65326E+04,  2.06583E+07,  2.06583E+07
     0.620000 ,      0.380000 ,    0.2150160 ,    0.2150160,  2.57474E+07,  1.67753E+04,  2.07459E+07,  2.07459E+07
