        xV,              xLi, OCV_HalfCellPlusLiP, OCV_FullCell[1], DeltaH[1],     DeltaS[1] ,    DeltaG[1] ,  (DH - T DS)
     0.640000 ,      0.360000 ,    0.2156433 ,    0.2156433,  2.57467E+07,  1.65699E+04,  2.08064E+07,  2.08064E+07
     0.660000 ,      0.340000 ,    0.2159121 ,    0.2159121,  2.56946E+07,  1.63080E+04,  2.08323E+07,  2.08323E+07
     0.680000 ,      0.320000 ,    0.2158955 ,    0.2158955,  2.56607E+07,  1.61997E+04,  2.08308E+07,  2.08308E+07
     0.700000 ,      0.300000 ,    0.2159934 ,    0.2159934,  2.56976E+07,  1.62918E+04,  2.08402E+07,  2.08402E+07
     0.720000 ,      0.280000 ,    0.2169795 ,    0.2169795,  2.58585E+07,  1.65124E+04,  2.09353E+07,  2.09353E+07
     0.740000 ,      0.260000 ,    0.2197840 ,    0.2197840,  2.61572E+07,  1.66068E+04,  2.12059E+07,  2.12059E+07
     0.760000 ,      0.240000 ,    0.2250857 ,    0.2250857,  2.64973E+07,  1.60315E+04,  2.17175E+07,  2.17175E+07
     0.780000 ,      0.220000 ,    0.2330102 ,    0.2330102,  2.67268E+07,  1.42368E+04,  2.24821E+07,  2.24821E+07
     0.800000 ,      0.200000 ,    0.2431244 ,    0.2431244,  2.69011E+07,  1.15483E+04,  2.34579E+07,  2.34579E+07
     0.820000 ,      0.180000 ,    0.2546673 ,    0.2546673,  2.72484E+07,  8.97781E+03,  2.45717E+07,  2.45717E+07
     0.840000 ,      0.160000 ,    0.2669733 ,    0.2669733,  2.78280E+07,  6.93956E+03,  2.57590E+07,  2.57590E+07
     0.860000 ,      0.140000 ,    0.2803937 ,    0.2803937,  2.85872E+07,  5.14293E+03,  2.70539E+07,  2.70539E+07
     0.880000 ,      0.120000 ,    0.2944756 ,    0.2944756,  2.93103E+07,  3.01090E+03,  2.84126E+07,  2.84126E+07
     0.900000 ,      0.100000 ,    0.3010254 ,    0.3010254,  2.89355E+07, -3.65587E+02,  2.90445E+07,  2.90445E+07
     0.920000 ,      0.080000 ,    0.3033330 ,    0.3033330,  2.72493E+07, -6.76817E+03,  2.92672E+07,  2.92672E+07
     0.940000 ,      0.060000 ,    0.3084411 ,    0.3084411,  2.42892E+07, -1.83493E+04,  2.97600E+07,  2.97600E+07
     0.960000 ,      0.040000 ,    0.3245408 ,    0.3245408,  2.41227E+07, -2.41179E+04,  3.13134E+07,  3.13134E+07
     0.980000 ,      0.020000 ,    0.4526830 ,    0.4526830,  4.04354E+07, -1.08734E+04,  4.36773E+07,  4.36773E+07
     1.000000 ,      0.000000 ,    1.8202310 ,    1.8202310,  1.75474E+08, -5.08478E+02,  1.75626E+08,  1.75626E+08
