Ce++++,Ce:1,4,HKFT,1 atm,625.15,298.15,cal/gmol,-121300,cal/gmol,-137700,cal/gmol/K,-100.1,cal/gmol/bar,-0.42792,cal/gmol,-1822.47,cal K/gmol/bar,12.8996,cal K/gmol,-20255,cal/gmol/K,40.279,cal K/gmol,-30141,cal/gmol,369640,ref:G9
Dy++++,Dy:1,4,HKFT,1 atm,625.15,298.15,cal/gmol,-55700,cal/gmol,-73400,cal/gmol/K,-104,cal/gmol/bar,-0.43164,cal/gmol,-1831.44,cal K/gmol/bar,12.933,cal K/gmol,-20218,cal/gmol/K,40.055,cal K/gmol,-32586,cal/gmol,374840,ref:G9
Er++++,Er:1,4,HKFT,1 atm,625.15,298.15,cal/gmol,-28100,cal/gmol,-45900,cal/gmol/K,-104.7,cal/gmol/bar,-0.43256,cal/gmol,-1834.02,cal K/gmol/bar,12.9496,cal K/gmol,-20207,cal/gmol/K,40.0003,cal K/gmol,-33197,cal/gmol,376150,ref:G9
Eu++++,Eu:1,4,HKFT,1 atm,625.15,298.15,cal/gmol,5000,cal/gmol,-12700,cal/gmol/K,-103.3,cal/gmol/bar,-0.43071,cal/gmol,-1829.51,cal K/gmol/bar,12.9322,cal K/gmol,-20226,cal/gmol/K,40.0515,cal K/gmol,-32178,cal/gmol,373530,ref:G9
Gd++++,Gd:1,4,HKFT,1 atm,625.15,298.15,cal/gmol,12600,cal/gmol,-5700,cal/gmol/K,-107.6,cal/gmol/bar,-0.43532,cal/gmol,-1840.52,cal K/gmol/bar,12.97,cal K/gmol,-20180,cal/gmol/K,39.8394,cal K/gmol,-35030,cal/gmol,380130,ref:G9
Ho++++,Ho:1,4,HKFT,1 atm,625.15,298.15,cal/gmol,-30500,cal/gmol,-48300,cal/gmol/K,-104.2,cal/gmol/bar,-0.43164,cal/gmol,-1831.44,cal K/gmol/bar,12.933,cal K/gmol,-20218,cal/gmol/K,39.9963,cal K/gmol,-32789,cal/gmol,374840,ref:G9
Lu++++,Lu:1,4,HKFT,1 atm,625.15,298.15,cal/gmol,27000,cal/gmol,9800,cal/gmol/K,-108,cal/gmol/bar,-0.43487,cal/gmol,-1839.21,cal K/gmol/bar,12.9608,cal K/gmol,-20186,cal/gmol/K,39.9042,cal K/gmol,-35234,cal/gmol,381470,ref:G9
Nd++++,Nd:1,4,HKFT,1 atm,625.15,298.15,cal/gmol,-47000,cal/gmol,-62900,cal/gmol/K,-98.7,cal/gmol/bar,-0.42742,cal/gmol,-1821.28,cal K/gmol/bar,12.8958,cal K/gmol,-20260,cal/gmol/K,40.2772,cal K/gmol,-29327,cal/gmol,367070,ref:G9
Pr++++,Pr:1,4,HKFT,1 atm,625.15,298.15,cal/gmol,-72700,cal/gmol,-88700,cal/gmol/K,-98.5,cal/gmol/bar,-0.42742,cal/gmol,-1821.28,cal K/gmol/bar,12.8958,cal K/gmol,-20260,cal/gmol/K,40.3357,cal K/gmol,-29123,cal/gmol,367070,ref:G9
Sm++++,Sm:1,4,HKFT,1 atm,625.15,298.15,cal/gmol,-39900,cal/gmol,-56400,cal/gmol/K,-101.1,cal/gmol/bar,-0.42886,cal/gmol,-1825,cal K/gmol/bar,12.9154,cal K/gmol,-20244,cal/gmol/K,40.2222,cal K/gmol,-30752,cal/gmol,370930,ref:G9
