DUALFOIL Mao et al (2014) (they are the same) Positive electrode OCV data 

  relExtent(xLi)       xV           OCV           dVdT         DeltaS         DeltaH       DeltaG
    0.00000E+00     1.00000E+00    4.71414      -1.99520E-04   1.92507E+04    4.60620E+08   4.54845E+08
    2.00000E-02     9.80000E-01    4.70934      -2.03632E-04   1.96475E+04    4.60277E+08   4.54382E+08
    4.00000E-02     9.60000E-01    4.70353      -2.07928E-04   2.00620E+04    4.59840E+08   4.53822E+08
    6.00000E-02     9.40000E-01    4.69653      -2.12421E-04   2.04956E+04    4.59294E+08   4.53146E+08
    8.00000E-02     9.20000E-01    4.68814      -2.17130E-04   2.09498E+04    4.58622E+08   4.52337E+08
    1.00000E-01     9.00000E-01    4.67819      -2.22070E-04   2.14265E+04    4.57805E+08   4.51377E+08
    1.20000E-01     8.80000E-01    4.66651      -2.27263E-04   2.19275E+04    4.56828E+08   4.50249E+08
    1.40000E-01     8.60000E-01    4.65295      -2.32732E-04   2.24552E+04    4.55678E+08   4.48941E+08
    1.60000E-01     8.40000E-01    4.63742      -2.38503E-04   2.30121E+04    4.54347E+08   4.47443E+08
    1.80000E-01     8.20000E-01    4.61993      -2.44610E-04   2.36013E+04    4.52835E+08   4.45755E+08
    2.00000E-01     8.00000E-01    4.60054      -2.51088E-04   2.42263E+04    4.51152E+08   4.43884E+08
    2.20000E-01     7.80000E-01    4.57944      -2.57980E-04   2.48913E+04    4.49316E+08   4.41849E+08
    2.40000E-01     7.60000E-01    4.55693      -2.65339E-04   2.56013E+04    4.47358E+08   4.39677E+08
    2.60000E-01     7.40000E-01    4.53338      -2.73227E-04   2.63624E+04    4.45313E+08   4.37404E+08
    2.80000E-01     7.20000E-01    4.50918      -2.81720E-04   2.71818E+04    4.43224E+08   4.35070E+08
    3.00000E-01     7.00000E-01    4.48473      -2.90911E-04   2.80686E+04    4.41131E+08   4.32711E+08
    3.20000E-01     6.80000E-01    4.46034      -3.00914E-04   2.90338E+04    4.39068E+08   4.30358E+08
    3.40000E-01     6.60000E-01    4.43620      -3.11866E-04   3.00905E+04    4.37056E+08   4.28028E+08
    3.60000E-01     6.40000E-01    4.41233      -3.23927E-04   3.12542E+04    4.35101E+08   4.25725E+08
    3.80000E-01     6.20000E-01    4.38857      -3.37256E-04   3.25403E+04    4.33195E+08   4.23433E+08
