DUALFOIL Mao et al (2014) (they are the same) Positive electrode OCV data 

  relExtent(xLi)       xV           OCV           dVdT         DeltaS         DeltaH       DeltaG
    4.00000E-01     6.00000E-01    4.36463      -3.51919E-04   3.39550E+04    4.31309E+08   4.21123E+08
    4.20000E-01     5.80000E-01    4.34013      -3.67550E-04   3.54632E+04    4.29398E+08   4.18759E+08
    4.40000E-01     5.60000E-01    4.31482      -3.82034E-04   3.68607E+04    4.27375E+08   4.16317E+08
    4.60000E-01     5.40000E-01    4.28888      -3.85748E-04   3.72190E+04    4.24979E+08   4.13814E+08
    4.80000E-01     5.20000E-01    4.26350      -3.32689E-04   3.20996E+04    4.20995E+08   4.11365E+08
    5.00000E-01     5.00000E-01    4.24165      -3.49345E-05   3.37067E+03    4.10268E+08   4.09257E+08
    5.20000E-01     4.80000E-01    4.22098       3.16693E-04  -3.05562E+04    3.98095E+08   4.07262E+08
    5.40000E-01     4.60000E-01    4.17815       1.22647E-04  -1.18336E+04    3.99580E+08   4.03130E+08
    5.60000E-01     4.40000E-01    4.14628      -5.17453E-05   4.99266E+03    4.01553E+08   4.00055E+08
    5.80000E-01     4.20000E-01    4.08461      -1.51367E-04   1.46047E+04    3.98486E+08   3.94105E+08
    6.00000E-01     4.00000E-01    4.06060      -2.14260E-04   2.06729E+04    3.97990E+08   3.91788E+08
    6.20000E-01     3.80000E-01    4.04433      -2.59159E-04   2.50050E+04    3.97720E+08   3.90219E+08
    6.40000E-01     3.60000E-01    4.02401      -2.94544E-04   2.84192E+04    3.96784E+08   3.88258E+08
    6.60000E-01     3.40000E-01    4.00250      -3.24592E-04   3.13184E+04    3.95578E+08   3.86183E+08
    6.80000E-01     3.20000E-01    3.98261      -3.51548E-04   3.39192E+04    3.94439E+08   3.84264E+08
    7.00000E-01     3.00000E-01    3.96560      -3.76712E-04   3.63472E+04    3.93526E+08   3.82622E+08
    7.20000E-01     2.80000E-01    3.95171      -4.00876E-04   3.86787E+04    3.92886E+08   3.81282E+08
    7.40000E-01     2.60000E-01    3.94070      -4.24537E-04   4.09615E+04    3.92508E+08   3.80220E+08
    7.60000E-01     2.40000E-01    3.93214      -4.47995E-04   4.32249E+04    3.92362E+08   3.79394E+08
    7.80000E-01     2.20000E-01    3.92558      -4.71409E-04   4.54841E+04    3.92406E+08   3.78761E+08
    8.00000E-01     2.00000E-01    3.92059      -4.94817E-04   4.77425E+04    3.92602E+08   3.78279E+08
    8.20000E-01     1.80000E-01    3.91683      -5.18130E-04   4.99919E+04    3.92914E+08   3.77916E+08
    8.40000E-01     1.60000E-01    3.91400      -5.41125E-04   5.22106E+04    3.93306E+08   3.77643E+08
    8.60000E-01     1.40000E-01    3.91188      -5.63412E-04   5.43610E+04    3.93747E+08   3.77439E+08
    8.80000E-01     1.20000E-01    3.91029      -5.84401E-04   5.63861E+04    3.94202E+08   3.77286E+08
    9.00000E-01     1.00000E-01    3.90911      -6.03251E-04   5.82048E+04    3.94633E+08   3.77171E+08
    9.20000E-01     8.00000E-02    3.90820      -6.18824E-04   5.97075E+04    3.94996E+08   3.77084E+08
    9.40000E-01     6.00000E-02    3.90738      -6.29652E-04   6.07522E+04    3.95230E+08   3.77005E+08
    9.60000E-01     4.00000E-02    3.90566      -6.33922E-04   6.11642E+04    3.95188E+08   3.76839E+08
    9.80000E-01     2.00000E-02    3.89616      -6.29541E-04   6.07415E+04    3.94145E+08   3.75923E+08
    1.00000E+00     0.00000E+00    3.82881      -6.14289E-04   5.92699E+04    3.87205E+08   3.69424E+08
